"pertanyaan","jawaban"
"Apa saja layanan BPS?","🏢 *LAYANAN RESMI BPS KABUPATEN BANGKA*<br><br>1. *Pelayanan Statistik Terpadu (PST):* Permintaan data & konsultasi statistik bagi masyarakat, mahasiswa/peneliti, dan instansi pemerintah.<br>2. *Publikasi Statistik:* Akses buku statistik & Berita Resmi Statistik (BRS) melalui portal bangkakab.bps.go.id.<br>3. *Rekomendasi Kegiatan Statistik:* Evaluasi rancangan survei (ROMANTIK).<br>4. *Konsultasi Statistik Sektoral:* Bimbingan teknis statistik bagi OPD / instansi pemerintah daerah.<br><br>💡 Untuk konsultasi langsung, silakan ketik *10* atau ketik *petugas*."
"Hubungi Petugas PST BPS","🏛️ *LAYANAN KONSULTASI STATISTIK TERPADU (PST)*<br>*Badan Pusat Statistik Kabupaten Bangka*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>🏢 *Alamat Kantor:*<br>Jl. Ahmad Yani Jalur Dua, Sungailiat, Kab. Bangka<br><br>⏰ *Jam Layanan:*<br>Senin – Jumat (08.00 – 15.30 WIB)<br><br>📞 *Kontak Resmi Petugas:*<br>• *Telepon / Fax:* (0812) 34567890<br>• *WhatsApp PST:* https://wa.me/6281234567890<br>• *Email:* bps1901@bps.go.id<br>• *Website Resmi:* http://bangkakab.bps.go.id<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>💡 _Silakan hubungi kontak di atas pada jam kerja untuk dilayani oleh petugas kami._"
"Jumlah Penduduk Kabupaten Bangka","📊 *DATA RESMI: JUMLAH PENDUDUK KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Jumlah Penduduk):* *1.346.069 Jiwa* _(Proyeksi SP2020 Resmi [Dikonfirmasi Valid] - Data riil terverifikasi sesuai hasil pendataan lapangan resmi BPS)_<br>• *Tahun 2024 (Jumlah Penduduk):* *341.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2023 (Jumlah Penduduk):* *336.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2022 (Jumlah Penduduk):* *331.165 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2021 (Jumlah Penduduk):* *326.265 Jiwa* _(Hasil SP2020)_<br><br>📁 *Kategori:* Jumlah Penduduk<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Jumlah Penduduk","📊 *DATA RESMI: JUMLAH PENDUDUK KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Jumlah Penduduk):* *1.346.069 Jiwa* _(Proyeksi SP2020 Resmi [Dikonfirmasi Valid] - Data riil terverifikasi sesuai hasil pendataan lapangan resmi BPS)_<br>• *Tahun 2024 (Jumlah Penduduk):* *341.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2023 (Jumlah Penduduk):* *336.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2022 (Jumlah Penduduk):* *331.165 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2021 (Jumlah Penduduk):* *326.265 Jiwa* _(Hasil SP2020)_<br><br>📁 *Kategori:* Jumlah Penduduk<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Data Kemiskinan Kabupaten Bangka","📊 *DATA RESMI: DATA KEMISKINAN KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Persentase Kemiskinan):* *4,71 %* _(P1: 0.51 | P2: 0.09 | Miskin: 16.58 rb)_<br>• *Tahun 2024 (Persentase Kemiskinan):* *4,24 %* _(P1: 0.62 | P2: 0.14)_<br>• *Tahun 2023 (Persentase Kemiskinan):* *4,32 %* _(P1: 0.35 | P2: 0.04)_<br>• *Tahun 2022 (Persentase Kemiskinan):* *4,26 %* _(P1: 0.67 | P2: 0.15)_<br><br>📁 *Kategori:* Data Kemiskinan<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Data Kemiskinan","📊 *DATA RESMI: DATA KEMISKINAN KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Persentase Kemiskinan):* *4,71 %* _(P1: 0.51 | P2: 0.09 | Miskin: 16.58 rb)_<br>• *Tahun 2024 (Persentase Kemiskinan):* *4,24 %* _(P1: 0.62 | P2: 0.14)_<br>• *Tahun 2023 (Persentase Kemiskinan):* *4,32 %* _(P1: 0.35 | P2: 0.04)_<br>• *Tahun 2022 (Persentase Kemiskinan):* *4,26 %* _(P1: 0.67 | P2: 0.15)_<br><br>📁 *Kategori:* Data Kemiskinan<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Laju Pertumbuhan Ekonomi Kabupaten Bangka","📊 *DATA RESMI: LAJU PERTUMBUHAN EKONOMI KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Pertumbuhan Ekonomi (Tahunan)):* *5,19 %* _(y-on-y Triwulan III)_<br>• *Tahun 2024 (Pertumbuhan Ekonomi (Tahunan)):* *-0,44 %* _(Angka Sangat Sementara)_<br>• *Tahun 2023 (Pertumbuhan Ekonomi (Tahunan)):* *4,42 %* _(Angka Sementara)_<br>• *Tahun 2022 (Pertumbuhan Ekonomi (Tahunan)):* *4,86 %* _(Realisasi)_<br>• *Tahun 2021 (Pertumbuhan Ekonomi (Tahunan)):* *7,46 %* _(Realisasi)_<br><br>📁 *Kategori:* Pertumbuhan Ekonomi<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Pertumbuhan Ekonomi","📊 *DATA RESMI: PERTUMBUHAN EKONOMI TRIWULANAN LAPANGAN USAHA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025-Q3 (Pertumbuhan Ekonomi Triwulanan):* *4,96 %* _(Angka Sementara BPS)_<br>• *Tahun 2025-Q2 (Pertumbuhan Ekonomi Triwulanan):* *5,12 %* _(Angka Sementara BPS)_<br>• *Tahun 2025-Q1 (Pertumbuhan Ekonomi Triwulanan):* *4,85 %* _(Angka Sementara BPS)_<br><br>📁 *Kategori:* Pertumbuhan Ekonomi<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Pertumbuhan Ekonomi Triwulanan Lapangan Usaha","📊 *DATA RESMI: PERTUMBUHAN EKONOMI TRIWULANAN LAPANGAN USAHA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025-Q3 (Pertumbuhan Ekonomi Triwulanan):* *4,96 %* _(Angka Sementara BPS)_<br>• *Tahun 2025-Q2 (Pertumbuhan Ekonomi Triwulanan):* *5,12 %* _(Angka Sementara BPS)_<br>• *Tahun 2025-Q1 (Pertumbuhan Ekonomi Triwulanan):* *4,85 %* _(Angka Sementara BPS)_<br><br>📁 *Kategori:* Pertumbuhan Ekonomi<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Indeks Pembangunan Manusia (IPM) Kabupaten Bangka","📊 *DATA RESMI: INDEKS PEMBANGUNAN MANUSIA (IPM) KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (IPM):* *75,38 Indeks* _(Naik 0.96% | UHH: 73.56)_<br>• *Tahun 2024 (IPM):* *74,66 Indeks* _(UHH: 73.24 | RLS: 8.45)_<br>• *Tahun 2023 (IPM):* *74,34 Indeks* _(UHH: 73.03 | RLS: 8.32)_<br>• *Tahun 2022 (IPM):* *73,62 Indeks* _(Kategori Tinggi)_<br>• *Tahun 2021 (IPM):* *73,13 Indeks* _(Kategori Tinggi)_<br><br>📁 *Kategori:* Indeks Pembangunan Manusia (IPM)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
